"","AC","ALFAA","ALSEA","AMXA","AMXL","ARA","AZTECACPO","BACHCOB","BBVA","BIMBOA","C","CEMEXA","CEMEXB","CMXCPO","CICSAB1","CMOCTEZ","CMRB","COMEUBC","CYDSASAA","ELEKTRA","FMSAUBD","FRAGUAB","GAPB","GBMO","GCARSOA1","GCC","GEOB","GFAMSAA","GFINBURO","GFNORTEO","GIGANTE","GMD","GMEXICOB","GMODELOC","GRUMAB","HOGARB","HOMEX","ICA","ICHB","IDEALB1","INVEXA","KIMBERA","KOFL","KUOB","LAMOSA","MEXCHEM","PENOLES","PINFRA","QCPO","SAN","SAREB","SORIANAB","TELMEXA","TELMEXL","TLVACPO","URBI","VALUEGFO","WALMEXV"
"abr-07",37.25,70.8,15.06,16.62,16.74,11.96,6.38,29.02,262.2,16.26,3222.7,3.47,3.47,24.27,10.38,26.76,8.05,27.38,8.49,325.02,41.7,117,48.85,8.17,18.23,68.95,31.31,30.56,14.18,45.08,22,40.96,21.28,51.5,35.89,41.6,89.97,72.12,46,14.18,34,47.85,53.65,12.14,25.25,14.28,229.97,37.4,6.09,237.2,14.38,28.7,20.29,11.9,52.09,37.57,8.74,18.6
"may-07",34.39,66.66,13.67,16,16.27,11.65,5.94,28.5,230.68,16.18,3052.4,3.47,3.47,25.38,10.72,23.2,7.8,26.99,9.89,258.41,39.07,125,46.36,7.84,18.76,62.48,34.88,32.72,12.63,44.66,19.56,27.5,19.71,50.08,28.92,32.98,99.87,70.3,38.47,13.15,29.5,43.85,51.12,10.66,22.2,17.2,249.99,32.59,6.39,193.99,13.3,28.08,19.4,11.59,48.44,38.23,8.74,19.17
"jun-07",41.92,66.2,12.65,16.85,16.12,11.13,5.92,26,220.29,14.55,2549.4,3.47,3.47,25.22,9.8,25.01,7.8,27.06,9.87,251.54,42.71,125,49.11,7.42,20.89,60.39,33.62,29.92,13.84,42.97,21.89,26.5,23.23,48.56,30.16,27.87,105.74,64.46,41.38,13.96,30,44.23,56.17,9.61,21.9,18.12,258.06,37.23,6.28,193.5,14.95,28.06,18,10.48,47.12,38.79,8.74,19.22
"jul-07",41.14,71.01,12.83,16.98,16.96,10.84,6.01,26.13,231.81,16,2277.3,3.47,3.47,24.12,10.56,25.45,8,30.03,9.98,290.58,44.77,125,48.12,7.13,19.85,58,33.95,27.4,15.97,46.14,20.26,26.48,21.94,46.6,25.11,26.74,103.5,63.26,42.03,17.29,30,47.21,60.41,10.44,22.92,17.94,321.79,37.48,5.8,213,14.71,31.21,20,11.84,51.85,34.92,8.74,22.24
"ago-07",40,73.63,13.61,15.88,15.24,10.99,6.34,25.52,240.5,16.79,2629.8,3.47,3.47,24.99,10.27,27.39,7.8,29.63,11.94,324.14,45.8,128,42.89,7.44,21.17,53.49,39.18,30.65,16.74,46.31,19.96,28,23.81,46.31,28.89,24.07,104.39,63.51,47.98,16.77,30,49.75,54.7,9.22,23.5,24.58,309.05,37.7,6,223.6,14.5,33.97,18.97,11.15,51.74,33.61,8.74,21.22
"sep-07",39.65,75.75,13.34,15.33,15.4,11.47,6.8,25,229.17,16.77,2267.8,3.51,3.51,26.15,9.86,27.98,7.8,32.23,11.5,407.79,48.53,129.73,36.54,7.19,20.16,58.2,40.07,40.92,19.73,50.15,19.3,27.19,24,55.7,31.02,24.07,120.1,69.16,52.91,15.37,30.1,48.5,64.22,8.74,23,29.16,304.46,38.69,5.7,215.01,15.4,38.06,21.51,12.54,53.83,39.5,8.74,22.81
"oct-07",37.98,73.73,12.96,13.5,13.63,9.52,6.48,24.99,195.13,16.8,1729.3,3.51,3.51,22.7,9.41,24.79,7.98,31.16,11.34,379.97,46.96,136.4,30.41,6.62,21.33,55.98,34.54,35.18,18.68,48.47,17.5,29,21.79,51.87,28.22,20.27,100.49,64.28,57.44,16.28,30.3,41.95,58.36,7.48,22.9,27.33,270.15,37.3,5.29,189.29,13.58,35.62,12.05,12.24,48.86,35.75,9.53,20.44
"nov-07",35.69,64.95,11.31,12.7,12.73,8.34,6.68,24.13,185.5,16.24,1866.7,3.51,3.51,19.01,9.19,23.8,7.75,29.87,10.03,397.93,46.15,136.5,29.99,5.82,19.36,51.49,36.59,27.38,18.89,43.46,18,27,16.58,52.55,28.67,19.5,93.83,53.3,52.37,15.39,30.3,43.24,57.32,6.41,21.89,22.86,267.03,31.33,5.27,191.4,11.4,36.22,12.5,12.69,45.42,33.55,9.53,20.42
"dic-07",35.4,53.65,11.26,13.18,13.18,8.11,6.57,25.37,173.22,17.14,1954.4,3.51,3.51,18.4,8.99,23.55,7.74,25.67,9,380.94,45.57,137,29.33,5.36,17.79,44.7,30.05,23.58,17.83,41.43,16,25.12,15.89,49.7,29.05,20.27,86.98,46.5,47.7,13.9,30.25,45.26,58.57,6.51,21.49,23.26,169.51,28.49,5.37,174.15,7.97,32.2,12.8,12.67,47.59,28.65,10,18.77
"ene-08",32.62,49.18,8.16,12.25,12.56,6.07,6.81,22.76,175,17.18,2300.4,3.51,3.51,16.67,8.56,24.79,7.68,25.12,9.17,381.62,41.58,134.18,27.57,5.46,18.13,44,24.96,22.35,18.78,34.92,14.5,23.66,10.78,46.54,22.1,14.16,80.78,31.53,39.46,11.2,26.4,47.16,55.63,6.12,20.77,19.66,130.36,20.99,5.1,164.84,4.45,30.97,13.9,13.95,47.26,26.42,10,18.81
"feb-08",27.98,25.37,7.01,9.93,9.95,5.21,6.09,20.3,141.3,15.33,1742,3.51,3.51,8.54,7.43,20.53,7,3.63,6.98,343.12,32.97,118,23.32,4.47,15.51,33.99,17.51,9.65,17.51,24.81,12.5,22.99,10.26,39.22,8.38,10.62,49.68,18.28,26.7,11.09,22,42.86,41.78,4.85,14.98,12.5,115.55,19,4.95,135.5,3.54,25.49,11,11.53,44.73,18.34,10,17.27
"mar-08",27,24.42,6.21,10.25,10.26,4.69,5.89,16.59,138.8,15.73,1110.6,3.51,3.51,8.53,6.01,20.01,7,3,5.99,500.87,36.97,110,29.58,3.2,14.38,28.1,12.12,7.63,17.55,21.41,13.8,16.97,8.22,34.95,6.5,10.55,38.47,19.05,24.94,9.58,20.9,41.99,46.91,4.76,12.3,13.11,115.47,17.38,4.5,109,2.4,25.75,11.51,12.08,40.56,19.99,10,18.36
"abr-08",24.5,29.55,6.23,10.5,10.62,5.36,5.46,15.99,170.19,14.58,942.7,3.51,3.51,11.3,7.3,21.5,6.9,2.98,8.3,581.21,41.37,98,31.46,3.58,16.67,29.8,15.46,7.79,16.18,24.88,12.9,14,8.5,43.78,7,10.55,52.05,22.89,35,9.38,20.9,45.55,60.22,4.08,11.49,12.3,168.73,18.18,3.72,128.9,2.95,28.74,14.2,14.35,40.83,19.01,9.63,18.5
"may-08",25.6,24,4.97,10.15,10.24,3.61,4.91,15.64,132.28,12.85,512.2,3.51,3.51,10.05,5.93,17.8,6.79,3.06,8,324.51,40.17,95,26.76,3.5,14.22,29,15.85,5.73,16.04,18.93,12.7,10.6,7.6,37.88,6.22,10.55,45.7,23.74,40.27,6.36,20.9,46.4,54.47,4.66,10,10.35,128.92,16,3.45,113.2,2.16,22.24,12.7,12.71,40.11,14.75,9.63,14.99
"jun-08",23.81,20.83,4.24,9.5,9.75,3.75,4.71,13.03,108.46,10.76,221.7,3.51,3.51,7.31,6.59,21,6.78,2.84,7,303.54,35.19,90,25.84,2.9,12.91,27.44,13.87,4.88,14.56,16.09,12.6,10.5,8.45,39.23,4.9,9.33,31.82,22.45,32.56,6.81,20.9,47.2,47.53,4.27,9.77,10.18,134.24,15.56,2.59,93.93,1.79,19.96,10.7,10.56,37.31,12.82,9.63,14.2
"jul-08",24.89,21.95,4.16,9.52,9.65,3.74,4.48,13.8,120,13.15,359.1,3.51,3.51,7.93,6.6,19,6.79,4.01,7.8,470.2,35.86,84,25.77,2.7,15.11,28.6,14.43,7.02,18.33,18.83,12,7.6,10.17,42.55,5.31,9.01,31.49,24.35,28.62,8.03,20.9,45.87,48.33,4.56,8.39,9.7,148.17,18.61,2.8,98,1.78,22.66,10.57,10.71,38.75,12.44,9.63,16.54
"ago-08",31.08,24.08,5.62,11.5,11.31,4.24,4.59,17.48,149.4,15.61,426.7,3.51,3.51,9.1,7.01,23.3,6.57,5.14,8,581.95,39,80,28.04,2.71,15.82,30,18.09,9.8,18.64,21.7,13,6.8,10.6,40.05,8.38,11.91,43.17,25.04,30.41,11.12,20.9,49.91,54.05,5.34,8.05,12.07,150.47,21.5,3.97,127.5,2.39,24.51,11.07,11.04,42.76,14.96,9.63,18.83
"sep-08",33.48,35.77,7.39,12.85,12.49,6.09,4.99,19.12,158.9,17.47,485.9,3.65,3.65,11.76,7,25.99,6.14,8.01,9,691.12,42.88,80,27.58,3.3,16.53,29.95,22.93,13.09,19.14,31.25,13.8,7.15,12.45,45.04,14.46,12.81,58.58,25.82,41.18,10.96,21.1,50.91,53.49,6.8,7.3,14.56,199.81,22.7,4.01,140.22,4.09,27.5,10.95,10.92,46.34,18.27,9.63,19.35
"oct-08",30.97,36.93,7.48,12.76,12.75,5.7,5.3,23.84,165,17.49,392.1,3.65,3.65,11.42,7.08,24.7,6.05,7.52,8.98,598.53,42.41,84,33.64,3.58,15.58,34.15,25.49,12.73,17.47,32.05,13.8,6.9,14.22,46.72,14.02,12,61.23,22.6,40.66,10.68,21.3,50.48,52.83,5.83,8,16.35,210.75,20.73,4.06,159.17,3.99,29.59,10.6,10.74,44.78,20.04,9.63,19.48
"nov-08",32.65,49.79,7.73,14.11,14.16,6.74,5.54,22.7,215.84,18.47,414.6,3.65,3.65,11.49,6.6,27.89,5,8.78,9,683.71,51.01,91,37.08,3.57,18.94,35.95,28.09,17.5,18.09,32.57,13.9,5.45,18.45,51.87,19.22,10.47,77.16,24.25,46.49,10.73,21.7,54.97,61.26,7.67,8.05,17.24,210.1,23.14,5.1,190,4,33.07,10.5,10.45,47.53,22.87,9.63,22.48
"dic-08",32.2,58.14,8.25,15.1,15.05,7.68,5.59,23.57,236.8,19.41,668.2,3.65,3.65,16.34,6.7,25.95,4.2,10.94,13,505.92,48.49,104,34.88,4.52,18.97,37,31.53,21.1,17.96,39.19,14.25,7.2,19.35,48.51,20.5,13.98,78.73,28.35,48.51,11.13,22.1,57.51,59.45,7.77,8.38,17.38,207.1,25.64,5.3,206.8,5.29,32.54,12.21,12.41,46.66,25.59,9.63,23.67
"ene-09",33.36,65.24,8.73,14.76,14.78,8.09,5.87,22.9,240.5,18.76,634,3.65,3.65,16.16,7.58,27,3.29,10.85,13.65,534.21,51.38,104,38.75,4.59,19.49,38.49,36.58,21.43,19.13,45.19,13.9,5.83,24.99,50.59,23.64,14.53,85.08,31.77,46.98,12.6,23,56.61,65.07,8.42,8.4,20.23,226.08,24.78,6.15,217.34,5.26,33.31,11.65,11.82,50.09,27.23,10,23.47
"feb-09",33.09,67.75,8.8,14.55,14.58,8.29,6.8,25.3,233.04,19.2,542.5,3.65,3.65,12.73,7.28,28.05,3,10.37,12.6,536.13,55.99,105,33.01,5.3,18,37.99,34.98,22.92,18.69,43.31,13.2,6.5,26.24,60.85,24.27,13.17,78.22,28.98,41.49,13.01,23.5,52.08,71.26,8.21,10.11,21.5,244.12,25.3,6.2,214,4.73,29.68,11,11.09,50.61,25.98,10,23.51
"mar-09",38.46,81.57,10.24,15.7,15.64,9.29,6.88,26,242.37,20.61,530.1,3.65,3.65,13.59,7.46,33,3.1,10.84,13.3,572.04,58.88,113.99,36.63,5.2,17.03,42,35.37,25.61,18.44,44.75,14.55,6,30.41,67.59,23.89,12.99,74.9,31.24,40.36,13.31,24.2,54.27,74.34,9.42,10.05,24.47,301.31,27,6.72,220.99,4.88,32.09,11.7,11.62,53.31,26.29,10.9,26.49
"abr-09",43.39,83.42,10.09,15.3,15.39,9.11,7.06,25,236.25,21.64,435.9,3.65,3.65,14.4,8.09,30,3.03,10.99,14.9,642.62,62.65,129.99,40.68,5.24,17.66,44,34.75,25.25,19.07,47.84,18.91,6.99,30.01,72.99,23.07,12.9,73.5,30.49,45.79,13.31,27,58.56,86.09,10.68,12,24.98,278.84,29.3,7,215.84,4.84,32.78,11,10.96,54.23,29.38,13,29.35
"may-09",42,84.37,10.37,14.25,14.31,8.52,6.91,24,198,20.56,434.7,3.65,3.65,11.31,8.2,35.8,3.02,10.62,13.97,663.85,55.36,129.99,41.31,5.2,17.85,46,34.72,27.13,20.03,43.01,17.55,6.68,26.51,64.55,25.8,12.09,66.82,31.95,40.52,15.6,27,58.68,80.87,11.65,12.75,28,241.95,27.5,7.45,183.22,4.09,30.32,10.54,10.59,51.33,27.76,13.75,29
"jun-09",41.87,86.23,11.52,14.2,14.25,8.69,6.82,22.99,165.49,23.31,434,3.65,3.65,11.34,8.2,30.79,3,11.13,13.6,667.97,54.86,102,43.58,5.3,20.08,45.8,37.65,24.42,22.15,47.78,18.5,5.36,30.51,71.03,25.2,10.92,58.28,28.34,41.6,15.8,27,67.75,82.36,11.17,13.47,29.79,255.83,28.98,6.86,166.24,4.14,34.43,9.7,10,47.29,28.77,15,31.85
"jul-09",42.62,97.39,13.4,15.6,15.57,8.31,7.08,22.76,170.2,27.2,502.2,3.65,3.65,11.78,8.51,33.5,3.1,10.04,16.6,628.05,59.03,109.5,46.02,5.96,20.42,45.88,37.46,24.01,21.2,54.57,19.1,7.78,33.11,72.68,27.95,10.42,58.53,31.62,49.08,17.34,27.25,70.11,82.52,14.55,13.1,36.8,260.76,31,7.52,163.9,4.55,36.84,9.6,9.68,52.28,29.29,15.95,31.56
"ago-09",46.5,95.79,13.29,15.5,15.89,8.46,6.94,22.59,173,24.6,543.5,3.65,3.65,13.61,8.01,30.64,3.19,11.8,16.5,585.76,58.39,102.1,43.59,5.96,19.87,44.78,39.01,22.6,20.71,51.12,19.3,11,32.35,67.9,22.66,10.69,59.39,32.51,51.06,15.53,27.5,71.41,86.27,15.24,14.2,35.25,259.58,30.65,8.5,155,4.22,36.64,9.36,9.5,51.23,28.39,17.5,28.66
"sep-09",44.25,91.44,12.85,15.35,15.83,8.1,6.5,22.88,135,22.97,514.7,3.65,3.65,13.5,7.23,30.77,3.15,12.1,15.56,502.05,56.49,102,45.66,5.4,18.76,45,36.63,21.35,21.41,50.51,18.9,8.59,31.02,71.81,19.56,9.9,57.31,30.45,44.51,15.02,28,70.48,93.64,14.27,13.2,33.99,235.72,27.99,8.15,132.7,3.14,34.59,9.4,9.7,49.96,25.33,18,28.77
"oct-09",44.1,96.78,12.1,15.69,15.4,7.77,6.8,18.5,133.95,22.99,485.5,3.8,3.8,12.12,6.85,29.94,3.05,11.54,16.08,518.52,56.01,100,37.55,5.3,18.15,44.25,34.61,20.7,20.87,50.14,20.9,7.8,30.5,63.88,19.96,8.64,54.75,30.39,43.69,15,28,74.73,80.93,14.27,12.9,33.55,252.14,28.08,8.25,136.27,2.77,32.73,9.01,9.16,45.19,23.93,19,28.64
"nov-09",46.76,98.64,12.55,16.15,15.67,8.31,6.91,19.76,169.61,23.84,518.4,3.8,3.8,11.54,7,30,3.46,11.75,16.51,504.65,61.81,105,41.03,4.8,20.98,43.25,36.03,17.39,22.35,49.55,21.4,8.05,33.65,68.71,18.92,9.48,62.56,31.88,45.48,15.37,28.25,79.99,86.66,14.86,12.5,35.11,264.52,29.01,8.82,163.36,2.8,33.61,9.26,9.23,48.31,24.53,22.5,29.4
"dic-09",50.85,90.69,12.37,15.25,15.41,7.61,8.47,19.81,159.24,22.64,489.9,3.8,3.8,9.88,7.7,30.8,3.25,11.05,17.43,422.41,64.64,107,36.64,4.7,25.79,42.48,34.07,14.43,24.39,47.49,21,9.39,33.84,70.12,17.58,10,60.79,30.18,46.55,16.2,28.25,76.4,99.47,14.37,12.3,33.98,278.56,32.79,8.64,155,2.56,32.67,9.05,9.19,48.96,24.82,22.13,29.51
"ene-10",51.61,97.26,12.57,16.56,16.79,8.15,8.42,20.53,170.31,23.08,493.7,3.8,3.8,10.37,7.27,30.5,3.59,11.13,17.3,441.7,64.04,107,43.5,5,27.99,40,36.16,15.39,24.95,47.71,20,11.68,36.28,69.22,17.99,10,68.02,30.67,43.42,15.29,28.25,80.24,98.75,16.08,12.4,35.26,307.75,36.23,9.05,161,2.76,34.91,9.25,9.41,47.76,26.23,22.6,31.58
"feb-10",51,102.41,12.55,17.5,17.7,7.81,9.3,22.15,161.4,23.8,514.6,3.8,3.8,10.4,8.33,31.75,3.5,13.33,19.2,463.28,67.98,120,45.95,4.95,31.4,39.9,39.19,17.88,26.72,52.67,20.35,11.66,40.61,69.16,24.26,9.18,69.3,32.55,44.87,16.02,28.5,77.5,98.74,17.47,14.5,39.06,349.87,39.87,10.15,159.35,3.17,37.87,9.3,9.55,55.47,26.31,24,33.78
"mar-10",53.5,115.12,11.93,17.55,17.64,7.7,8.72,25.9,117.21,25.41,524,3.8,3.8,10.88,7.37,29.4,3.17,13.59,18.88,500.94,70.6,130,47.77,5,33.74,47,40.25,19.57,27.17,53.79,21.5,11.29,42.42,73.42,23.07,8.89,69.79,32.71,44.6,17.84,29.5,76.49,100.69,17.76,16.85,42.58,391.09,44,11.15,120.56,3.76,38.84,9.9,10.01,57.86,28.55,24,35.12
"abr-10",60,124.4,12.93,17.5,17.74,7.64,8.55,25.55,125.5,26.36,585.5,3.8,3.8,12.66,7.85,30.75,3.38,15.12,19.24,522.85,69.32,145,50.35,5.59,34.6,49.45,45.28,22.89,27.13,58.86,24,10.76,50.59,76.44,23.21,8.65,70,31.63,48.08,17.51,31,75.73,102.17,19.74,19.1,44.21,450.14,43.56,11.12,131.5,3.7,39.65,9.83,10.01,63.91,28.99,25,35.44
"may-10",64.84,132.12,13.75,17.13,17.28,7.67,7.94,25.58,149.82,25.61,582.9,3.8,3.8,11.02,7.84,28.71,3.6,15.25,19.9,504.16,64.37,145,47.34,5.51,34.95,49,41.6,21.66,26.47,53.98,24.3,10.27,47.4,74.77,26.34,8.47,61.66,30.7,47.84,17.3,31.25,67.01,95.95,21.31,21,43.31,402.17,41.87,11.07,148.6,3.5,38.11,10.31,10.52,58.44,29.36,25.75,33.7
"jun-10",65.86,150.72,12.9,17.23,17.34,7.05,8.4,26.36,148.2,23.55,568.1,3.8,3.8,10.46,7.5,29.1,3.39,16.69,19.2,504.87,68.03,145,46.01,5.45,38.76,47.56,34.06,21.89,25.42,54.96,24.3,10.15,45.95,73.22,24.64,8.24,55.1,27.86,47.48,18.1,31.25,70.45,88.48,19.91,20.45,43.5,420.92,44.35,10.53,148.1,2.93,40.02,10.9,10.99,57.15,26.49,29.09,34.62
"jul-10",68.89,154.95,12.61,17.2,17.26,7.27,8.18,27.53,143.32,25.05,527.1,3.8,3.8,10.63,7.61,29.91,3.39,19.35,19.51,512.59,69.85,150,50.57,5.4,39.62,43.9,33.32,20.1,27.28,55.98,24.3,9.47,44.47,71.13,24.96,7.5,54.08,27.08,48.59,18.8,31.25,73.7,92.35,19.93,18,44.54,438.2,50.27,10.99,140.5,3.18,42.41,10.75,10.92,58.42,27.76,30.01,35.63
"ago-10",69.91,172.4,13.07,15.98,16.5,6.84,8.17,27.3,147.4,25.4,524.6,3.8,3.8,9.98,7.8,28.88,3.4,20.07,19.34,524.2,72.45,150,47.88,5.3,44.77,43.8,33.98,23.2,30.7,57.97,22.5,9.6,39.86,71.98,23.05,7.75,54.2,28.42,45.83,21.02,31.25,71.23,91.72,20.72,18.35,43.75,448.26,48.45,10.51,142,3.09,39.71,10.81,10.81,54.51,27.58,32.4,36.06
"sep-10",70.82,166.99,12.42,15.23,15.24,6.39,8.06,25,134.99,26.92,474.48,3.8,3.8,9.98,6.99,29.7,3.39,19.65,18.5,534.09,71.44,150,47.28,5.1,40.8,43.79,27.62,21.06,30.12,53.94,24.5,8,41.49,73.57,20.83,7.4,45.67,28.53,42.62,18.1,31.75,67.93,100.4,19.74,18.7,45.17,450.54,54.39,10.29,136.99,2.87,36.09,10.25,10.38,53.95,24.15,31.75,35.2
